epoch,train_loss,train_acc,val_loss,val_acc
0,1.673636173522495,0.2733375554148195,1.2840525025820078,0.5209080047789725
1,1.3430774760895547,0.34249525015832805,1.2720731364356146,0.5364396654719236
2,1.2254471730249754,0.4345788473717543,0.8338408487244746,0.7299880525686977
3,1.0984094753531128,0.4298923369221026,1.4769719267973906,0.5316606929510155
4,1.0474883110784443,0.4629512349588347,0.9792723004820811,0.7168458781362007
5,1.030289932170044,0.4830905636478784,1.2070851031170096,0.6212664277180406
6,0.9133114808416578,0.4618112729575681,0.9239429236170497,0.7299880525686977
7,0.8808721963931972,0.4852438252058265,0.6795960035232945,0.7598566308243727
8,0.8705561222646567,0.4927169094363521,0.6628813858153999,0.7956989247311828
9,0.8385993283937972,0.499683343888537,0.5727385477638016,0.8339307048984468
10,0.872464868960462,0.5114629512349589,0.5442108779682766,0.8315412186379928
11,0.8455094481511083,0.48613046231792273,0.4932778194778139,0.8614097968936678
12,0.7861118309402707,0.49309689677010765,0.8226860734225744,0.7622461170848268
13,0.716608000367861,0.511589613679544,0.525495908095133,0.8363201911589009
14,0.73948867147372,0.47536415452818237,0.5815368275488576,0.8016726403823178
15,0.7248258570087643,0.4844838505383154,0.5712258731200845,0.8052568697729988
16,0.740060948283707,0.5533882203926536,0.6226575123224065,0.7921146953405018
17,0.7382112014286121,0.5003166561114629,0.5742881339145747,0.8195937873357229
18,0.670978336231553,0.5123495883470551,0.5710945478690568,0.8255675029868578
19,0.7179724476471817,0.5490816972767575,0.8957815042818177,0.7275985663082437
20,0.7122586752509226,0.49588347055098164,0.5609711260849715,0.8124253285543608
21,0.642187376728988,0.4968967701076631,0.6049227031924748,0.8004778972520908
22,0.7058709860225506,0.5018366054464851,0.6048241045811128,0.8100358422939068
23,0.6448986366098632,0.5266624445851805,0.6155848440802083,0.8088410991636799
24,0.6457041883710217,0.5223559214692843,0.6705456975326743,0.7968936678614098
25,0.6382803543411228,0.5445218492716909,0.5465095113838268,0.8148148148148148
26,0.6414573281871283,0.5099430018999367,0.5627401652373151,0.8136200716845878
27,0.6429427183452024,0.5901203293223559,0.497500393428398,0.8422939068100358
28,0.5992397201861513,0.5215959468017732,0.6119534621458043,0.7992831541218638
29,0.6368434271984571,0.5307156428119063,0.5219369901515535,0.8410991636798089
30,0.6072371998378339,0.5386953768207726,0.6075995374680135,0.8315412186379928
31,0.5890915136234605,0.5609879670677644,0.6045976088180907,0.8243727598566308
32,0.5774222431339895,0.5468017732742242,0.5791888715189702,0.8195937873357229
33,0.6358256807351429,0.5412286257124762,0.5518372229688768,0.8303464755077659
34,0.5907316801138812,0.548068397720076,0.7743094732969322,0.7980884109916367
35,0.5809372724159524,0.5955668144395186,0.5848768619439935,0.8422939068100358
36,0.5505955169573096,0.5801139962001267,0.626121394594368,0.8255675029868578
37,0.5556911315587293,0.5134895503483218,0.5134233734308962,0.8327359617682198
38,0.52929186489459,0.5329955668144395,0.5109550363630092,0.8267622461170848
39,0.540675391118084,0.5188093730208994,0.5426431744756665,0.8207885304659498
40,0.5457355055715027,0.5823939202026599,0.48602376789246265,0.8327359617682198
41,0.5325620256944726,0.4949968334388854,0.540806379316101,0.8148148148148148
42,0.5024875309740614,0.506649778340722,0.48378980095668506,0.8363201911589009
43,0.5342147095962897,0.5701076630778974,0.49848570926571123,0.8363201911589009
44,0.4972142802981956,0.5998733375554148,0.4930844354836032,0.8339307048984468
45,0.5451527486314043,0.5465484483850538,0.4701740544649862,0.8554360812425329
46,0.4699458011197772,0.5756808106396454,0.5126977507714872,0.8339307048984468
47,0.5001653178478812,0.5204559848005067,0.568907643446928,0.8195937873357229
48,0.5282864817869369,0.572640911969601,0.5321291957313157,0.8279569892473119
49,0.5061938402394541,0.5217226092463585,0.5054385169646218,0.8410991636798089
50,0.48430538603291623,0.5336288790373654,0.4654985406261334,0.8530465949820788
51,0.44926982679421423,0.5728942368587714,0.5178289224205621,0.8446833930704899
52,0.5303000565493236,0.5818872704243192,0.48576536162210054,0.8494623655913979
53,0.47717051832188223,0.5540215326155795,0.4532330199951482,0.8530465949820788
54,0.5059605986049766,0.5145028499050032,0.4891754437411558,0.8422939068100358
55,0.5214259289804329,0.5261557948068398,0.4926617504091958,0.8446833930704899
56,0.502757595263379,0.5365421152628246,0.5095095933729887,0.8410991636798089
57,0.4772956123413958,0.5428752374920836,0.48762778749104185,0.8458781362007168
58,0.49291305235098104,0.5227359088030399,0.5060229853347495,0.8458781362007168
59,0.46326074514908455,0.5293223559214693,0.5104101701520535,0.8315412186379928
