epoch,train_loss,train_acc,val_loss,val_acc
0,1.6144558729439917,0.2979100696643445,1.208484608070255,0.6129032258064516
1,1.301288265695747,0.38074730842305254,1.2359658153538493,0.5854241338112306
2,1.218804615822829,0.3806206459784674,1.1603917408302835,0.5663082437275986
3,1.0983813078513698,0.4387587080430652,0.8211385854113772,0.7323775388291517
4,1.058938492484452,0.461051298290057,0.9776745804962719,0.6762246117084827
5,0.962736262302749,0.45737808739708674,1.09960075561291,0.6678614097968937
6,0.9709466913027277,0.4618112729575681,0.8796104427734156,0.7335722819593787
7,0.8865333046091742,0.4629512349588347,0.6090637173063012,0.7968936678614098
8,0.8530649970346346,0.4998100063331222,0.5633409673096601,0.8195937873357229
9,0.8400834728978419,0.46903103229892334,0.7922082609600491,0.7550776583034647
10,0.8170477034624353,0.4838505383153895,0.69223572653824,0.7550776583034647
11,0.7561972875471278,0.5497150094996833,0.745481121728782,0.7526881720430108
12,0.7685327654778769,0.47384420519316023,0.5820343313358163,0.8255675029868578
13,0.7876239716893438,0.5006966434452185,0.6382673550463919,0.7825567502986858
14,0.7551463323050167,0.473717542748575,0.5039981754592385,0.8207885304659498
15,0.7538394880264601,0.512982900569981,0.7098424172600822,0.7777777777777778
16,0.7528203510309489,0.5114629512349589,0.6811488982169859,0.7741935483870968
17,0.6493167558336953,0.5213426219126029,0.8893803684586122,0.7240143369175627
18,0.7311050019813837,0.47815072830905636,0.6523876490345139,0.8279569892473119
19,0.6754039979418899,0.5012032932235592,0.5893170148169837,0.8172043010752689
20,0.7050397508124749,0.5164027865737809,0.6959995079781135,0.7933094384707288
21,0.6748283059933731,0.47333755541481953,0.5520240155670663,0.8207885304659498
22,0.6751310516188913,0.546675110829639,0.5770156641480744,0.8315412186379928
23,0.6659645471790306,0.49778340721975933,0.7267799463608217,0.7694145758661888
24,0.6744282204112801,0.5048765041165294,0.5388034585253597,0.8626045400238949
25,0.6420027263410639,0.5141228625712476,0.5816996201890628,0.8040621266427718
26,0.6224681113078068,0.5408486383787207,0.5240888467755084,0.8506571087216248
27,0.5977517546148071,0.5435085497150095,0.5335162414444817,0.8518518518518519
28,0.5943839791305764,0.5378087397086764,0.51395387101914,0.8267622461170848
29,0.6166549664648973,0.536162127929069,0.5905185640570368,0.8195937873357229
30,0.6386713996954249,0.5162761241291957,0.5061174062845101,0.8578255675029869
31,0.550806993302701,0.5416086130462318,0.4794247017610315,0.8482676224611708
32,0.5518790996852293,0.5595946801773274,0.5154959756342457,0.8578255675029869
33,0.5214114705318889,0.555161494616846,0.48374819710156397,0.8542413381123058
34,0.5532235871167633,0.5251424952501583,0.5491655122137127,0.8422939068100358
35,0.5371507052155218,0.5037365421152629,0.4972739292925119,0.8614097968936678
36,0.5766771486546889,0.5093096896770107,0.5322905339149306,0.8351254480286738
37,0.5187761066343454,0.504496516782774,0.5219484887385168,0.8327359617682198
38,0.53350982291552,0.5544015199493351,0.4640692296207592,0.8554360812425329
39,0.5617548970721469,0.5555414819506016,0.593746432480419,0.8470728793309439
40,0.5204871204738907,0.5152628245725143,0.5054432472732617,0.8506571087216248
41,0.5256220977109319,0.5266624445851805,0.5589100374899173,0.8399044205495818
42,0.5550993783931478,0.5845471817606079,0.4963465723227999,0.8554360812425329
43,0.5042633417741342,0.5587080430652311,0.5089398621800695,0.8339307048984468
44,0.5432202889316817,0.5217226092463585,0.4746865913218495,0.8554360812425329
45,0.5088092440797076,0.5953134895503484,0.4747074707149747,0.8578255675029869
46,0.5371627732950951,0.5422419252691577,0.5617361730643355,0.8399044205495818
47,0.46764586305905176,0.5777074097530083,0.4117245562330084,0.8709677419354839
48,0.49239224443487006,0.5654211526282458,0.44933895059953594,0.8614097968936678
49,0.45611175744687554,0.5215959468017732,0.4387271736115395,0.8578255675029869
50,0.4763071923636424,0.5609879670677644,0.45006901015090256,0.8685782556750299
51,0.4946170972071546,0.5642811906269791,0.47911207475827444,0.8506571087216248
52,0.5176582301102762,0.5218492716909436,0.44122339017787143,0.8649940262843488
53,0.5239175694739238,0.5720075997466751,0.45105557661757245,0.8566308243727598
54,0.48358385648962965,0.5397086763774541,0.4678877025949485,0.8602150537634409
55,0.5430370809761612,0.5556681443951869,0.4399794336573055,0.8626045400238949
56,0.5234393689208124,0.5150094996833439,0.4315707322517176,0.8673835125448028
57,0.45207508776745065,0.5709943001899936,0.41379831231053443,0.8733572281959379
58,0.5033498464146319,0.5399620012666244,0.43652988555468397,0.8673835125448028
59,0.5268697769903095,0.5702343255224825,0.43408883792952396,0.8614097968936678
